episode_id,source,source_tier,current_category,reviewed_category,business_context_present,technical_support_noise_present,ambiguity,reason,example_text_excerpt,persona_id,labelability_status
stackoverflow::79063377::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal","Set Data Source of Graph to Pivot Table Row Labels range that changes in size <p>I have a pivot table and the number of rows on it may change as the data changes. I then have a normal graph (not pivot graph) where I plot data from the pivot table under one data series, and the...",,low_signal
stackoverflow::72066196::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal",UPDATE rows only where a matching row exists in the same table <p>I am trying to update a table named <code>qc</code> only when <code>first.value</code> is equal to <code>second.value</code>.</p> <p>An <code>UPDATE</code> query without <code>FROM</code> updates every value whi...,,low_signal
stackoverflow::73242328::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","Sequelize - Pagination works not correct in findAndCountAll when relations count functions added <p>I am trying to implement pagination with findAndCountAll method, but after i adding count functions for relations tables it gave me a result with many duplicated rows, for examp...",,low_signal
stackoverflow::79910162::01,stackoverflow,supporting_validation_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=6, technical=7, strong=2, source=stackoverflow, labelability=low_signal",How to unit test SQL Server User-Defined Table Types against C# classes to ensure property order and compatibility? <p>I'm working on a .NET 8 application that uses SQL Server User-Defined Table Types (UDTT) to pass data to stored procedures. I have a situation where I need to...,,low_signal
stackoverflow::78016425::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=stackoverflow, labelability=low_signal",Calculate the total weight of segments <p>I m trying to calculate the total weight of the segments and subsegments in SQL Server 2022 using recursion and i m not even closer to a satisfactory output and maybe you can help me how to adjust the recursive cte or using other metho...,,low_signal
stackoverflow::76132024::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=6, strong=0, source=stackoverflow, labelability=low_signal","Error: Not all parameters were used in the SQL statement (Python, MySQL) <p>I get an error in the following Python code: <a href=""https://github.com/krishnakumar-03/dbms/blob/main/Source%20Code.py"" rel=""nofollow noreferrer"">My Mini Project</a></p> <pre><code>def dbconnect(): t...",,low_signal
stackoverflow::75848834::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","Display in PHP first letter of mySql array <p>I would like to display businesses from within our database as an alphabetical list, sorted by first letter. Currently, Not all letters are represented. As a visual example, the user page would look like this:</p> <p>Display busine...",,low_signal
stackoverflow::77680961::01,stackoverflow,supporting_validation_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=2, technical=2, strong=1, source=stackoverflow, labelability=low_signal","Change in date format while using power Automate <p>I m using power automate to export table from power bi to a csv file. But the date format in columns is getting changed.</p> <p>The following is my power automate workflow that i m using.</p> <p><a href=""https://i.sstatic.net...",,low_signal
stackoverflow::78651315::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=4, strong=0, source=stackoverflow, labelability=low_signal","issue in PostgrelSQL 15.3 with partition pruning <p>I have two tables partitioned by range on column day,(this is an oversimplification for a more complex design), tables appear similar but day field refers to completly different concept than day in second table. Table events...",,low_signal
stackoverflow::78805500::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","Select count query very slow on cold cache <p><strong>Problem</strong></p> <p>The following query takes 42 seconds when most of the data in not cached:</p> <pre class=""lang-sql prettyprint-override""><code>EXPLAIN (ANALYZE, BUFFERS) select count(*) from packages where company_i...",,low_signal
stackoverflow::79187448::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=2, strong=0, source=stackoverflow, labelability=low_signal",The &quot;MySql&quot; query is not giving me the correct output for matching the words to use them in the form of tags/searches <p>I have created a MySql query to count the total number of a particular word from two rows by joining the two tables. Suppose I have the word &quot...,,low_signal
stackoverflow::76880315::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal","Select All latest Record <p>So I have this sample data.</p> <p>Note that datetime and refreshed date format is date, running time is integer while the others are varchar. I want to select the records of the latest entry group by applications.</p> <div class=""s-table-container""...",,low_signal
stackoverflow::79624291::01,stackoverflow,supporting_validation_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=2, technical=6, strong=2, source=stackoverflow, labelability=low_signal",&quot;Unexpected EOF encountered in BCP data-file&quot; when importing large CSV exported from SQLite <p>I'm facing a persistent issue when trying to import a .csv file into SQL Server using bcp. The operation always fails with the following error:</p> <blockquote> <p>SQLState...,,low_signal
stackoverflow::78587575::01,stackoverflow,supporting_validation_source,generic_low_signal,denominator_eligible_business_non_core,yes,yes,no,"business=1, technical=1, strong=0, source=stackoverflow, labelability=low_signal","Why is PowerBI two orders of magnitude slower than Python to join two files? <p>I have two csv files:</p> <ul> <li>File A: 2.7m rows, 5 columns, 350MB</li> <li>File B: 4.5m rows, 2 columns, 185MB</li> </ul> <p>I'm trying to merge (join) them on a single column. On my computer,...",,low_signal
stackoverflow::68313248::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=5, strong=0, source=stackoverflow, labelability=low_signal","optimisation of multiple left joined tables for fulltextsearch over multiple columns with offset, limit and count for pagination <p>I currently have four tables that need to be joined with a left join. There are about 400_000 (400 thousand) of data records (which will grow in...",,low_signal
stackoverflow::79741094::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=6, strong=0, source=stackoverflow, labelability=low_signal",MySQL Full-Text Search with ngram parser not prioritizing exact word matches <p>I have enabled a full-text index on my MySQL table with the ngram parser as shown below:</p> <pre><code>SHOW VARIABLES LIKE 'ngram_token_size'; -- Default set to 2 ALTER TABLE MyTable ADD FULLTEXT...,,low_signal
stackoverflow::68982025::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=2, strong=0, source=stackoverflow, labelability=low_signal",Why query in wrapped PLPGSQL function is much slower than itself? <p>Have been working with PostgreSQL 12.8 (Ubuntu 12.8-1.pgdg18.04+1) for a while. We have a significant time difference between normal queries and the same queries wrapped inside PLPGSQL functions with the same...,,low_signal
stackoverflow::67746005::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=5, strong=0, source=stackoverflow, labelability=low_signal",SQLAlchemy: Many to many cascade example from docs is super slow <p><strong>Disclaimer: I'm a database noob and this is my first question on StackOverflow. Happy to edit to make it as clear and up to code as possible.</strong></p> <p>In my application I have two tables: InputD...,,low_signal
stackoverflow::72596601::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=stackoverflow, labelability=low_signal","COUNT all values in a column with JOIN <p>I am joining three tables and need to return two separate counts, one showing the total number of unique users who have purchased an item, and the other showing the total number of unique users who haven't purchased an item. These are...",,low_signal
stackoverflow::70422410::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal","How to Increase Query Speed of Large Tables in Postgres <p>I have 2 tables I am using in a query: tableA and tableB. TableA has a row count of 80568353, and tableB is at 101806780. They both share the same 10 columns (tableB has an additional 4 columns) including p_id. My goal...",,low_signal
stackoverflow::71717659::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal","Is there a way to return early from a select statement in postgresql? <p>I take a user-provided search query and split it into tokens, then generate a <code>WHERE</code> clause that checks each token against each text column (I'll leave out the indexes here for brevity, but th...",,low_signal
stackoverflow::79036626::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","SQL count occurrences based on values in other columns <p>I'm using SQL Server to query some data. Here is what that data looks like:</p> <div class=""s-table-container""><table class=""s-table""> <thead> <tr> <th>ID</th> <th>AssignedLevel</th> <th>ManLevel02ID</th> <th>ManLevel03...",,low_signal
stackoverflow::68484313::01,stackoverflow,supporting_validation_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=2, technical=4, strong=0, source=stackoverflow, labelability=low_signal","Power Query does not recognize tab as a delimiter in .txt files in the code <p>this is my first post here, so I apologize in advance if the question has been already answered somewhere or I do something wrong. To summarize the problem:</p> <p>I am doing some spectroscopy measu...",,low_signal
stackoverflow::71046807::01,stackoverflow,supporting_validation_source,generic_low_signal,denominator_eligible_business_non_core,yes,yes,no,"business=1, technical=1, strong=0, source=stackoverflow, labelability=low_signal","LEFT JOIN query with COUNT takes so long to execute <p>I have 4 tables, <strong>album</strong>, <strong>artist</strong>, <strong>song_cover</strong> and <strong>song</strong>. Am trying to join the 3 tables to the <strong>album</strong> table and include the total number of so...",,low_signal
stackoverflow::75704851::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=4, strong=0, source=stackoverflow, labelability=low_signal","SQL - Get parameters with highest precedence <p>I have a postgreSQL table: <code>params</code> with 3 columns: <code>param_scope</code>, <code>param_name</code>, <code>param_value</code></p> <p>The format of <code>param_scopes</code> are like this: <code>/mainGroups/{familyId}...",,low_signal
stackoverflow::68138620::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=stackoverflow, labelability=low_signal","Using min/max values from a CTE in a later query, instead of using a subquery in Postgres <p>I've got a remedial question about pulling results out of a CTE in a later part of the query. For the example code, below are the relevant, stripped down tables:</p> <pre><code>CREATE...",,low_signal
stackoverflow::76055744::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","MySQL Case / Count / Distinct Anomalous Results <p>I am getting anomalous / incorrect results from the following MySQL query:</p> <pre><code>`select CarrierID, CarrierName, count(distinct case when CaseYear = '2022'then CaseNumber Else 0 end) as '2022', count(distinct case whe...",,low_signal
stackoverflow::67434115::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=2, strong=0, source=stackoverflow, labelability=low_signal",Getting sum of middle table columns in left join <p>Below are the tables and the SQL query. I'm doing left join on 3 tables and trying to get sum of the specific columns in each middle table. but the result is wrong.</p> <p>products table :</p> <pre><code>id | product-name ---...,,low_signal
stackoverflow::71393342::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","mysql - select MAX value by a group return wrong values of other column <p>I want to find <strong>MAX</strong> value by the <code>code</code> and my data like below:</p> <div class=""s-table-container""> <table class=""s-table""> <thead> <tr> <th>id</th> <th>date</th> <th>code</th...",,low_signal
stackoverflow::74111358::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=3, strong=0, source=stackoverflow, labelability=low_signal","aggregate query results in Scala or in MySql <p>I have a heavy query executed in MySql by a Scala code &amp; Jooq; this is how it looks when converting to SQL from Jooq:</p> <pre><code>select t2.id, min(t2.date) as start_date, max(t2.date) as end_dtae, count(distinct t2.t) as...",,low_signal
stackoverflow::70026346::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal","In Jooq, how to fetch into LinkedHashMap? <p>I know that to fetch into <code>Map</code> I can use <code>fetchMap</code>, but it doesn't support <code>LinkedHashMap</code>, where I want to maintain the insertion order created by <code>orderBy</code>.</p> <p>I tried</p> <pre><co...",,low_signal
stackoverflow::76384972::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=stackoverflow, labelability=low_signal",Is it possible to merge two tables in Power Query Editor (Power BI) with Python fuzzy matching? <p><strong>Merge two tables in power query editor (Power BI) based on string similarity with Python</strong></p> <p>Consider the tables bellow:</p> <p><strong>Table1</strong></p> <p...,,low_signal
stackoverflow::70113823::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,yes,yes,no,"business=1, technical=5, strong=0, source=stackoverflow, labelability=low_signal",PostgreSQL - SQL function to loop through all months of the year and pull 10 random records from each <p>I am attempting to pull 10 random records from each month of this year using this query here but I get an error &quot;ERROR: relation &quot;c1&quot; does not exist &quot; N...,,low_signal
stackoverflow::72450556::01,stackoverflow,supporting_validation_source,generic_low_signal,syntax_formula_debug_noise,no,yes,no,"business=0, technical=2, strong=0, source=stackoverflow, labelability=low_signal","Query for any person has any account of type x <p>Imagine I have two tables, Person and Account, a person can have accounts (type 1 and/or 2). I'd like to get a list of people who have at least one type 1 account, and also get a list of people who don't have a type 1 account....",,low_signal
domo_community_forum::52524::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=2, strong=0, source=domo_community_forum, labelability=low_signal","Using Magic ETL, how can i sort an aggregated string? Ask questions, help other users, get involved. Take full advantage of all the forum has to offer. Help shape Domo by sharing your product ideas. Network and swap stories at virtual & hybrid events. See how community members...",,low_signal
domo_community_forum::58249::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","Is there a way to mass update sharing settings for mutliple dataset? Hi, I need to remove user & group access from 100+ datasets in Domo. Is there a way to do this en masse without clicking on the detail view for each dataset and managing sharing settings individually? Any tip...",,low_signal
domo_community_forum::63838::01,domo_community_forum,exploratory_edge_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=2, technical=2, strong=0, source=domo_community_forum, labelability=low_signal","Table Total Row and Beast mode Aggregation Hi experts, I'm tying to build a table of consumption by subtracting a total on different days. I'm using the lead to get the next value and subtracting the current one: When I able the total row option an error occurs: My first quest...",,low_signal
domo_community_forum::60248::01,domo_community_forum,exploratory_edge_source,generic_low_signal,technical_support_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=domo_community_forum, labelability=low_signal","Card Displaying Data from Wrong Dat Range Only on Dashboard Hello, Having an issue where, when I open the analyzer for a card, the data from the correct close date date range is displayed. However, on the doashboard that it resides, it is missing all 2024 close date data despi...",,low_signal
domo_community_forum::69757::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=4, strong=0, source=domo_community_forum, labelability=low_signal","ERROR: while using Image-to-Text AI service layer in workflow While using the Image-to-Text AI service layer in workflow facing below error, please let me answer if you know anything about this or I'm doing it wrong Internal Server Error : com.domo.bedrock.jaxrs.client.excepti...",,low_signal
domo_community_forum::66830::01,domo_community_forum,exploratory_edge_source,generic_low_signal,technical_support_debug_noise,yes,yes,no,"business=1, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","Connecting Monthly Goals to Incoming Cumulative Daily Data I'm trying to create a card that shows cumulative daily sales against a monthly goal. The data is coming from 2 different sources - the daily info from our raw data, and the goals I was going to input as a webform to t...",,low_signal
domo_community_forum::40045::01,domo_community_forum,exploratory_edge_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=2, technical=1, strong=0, source=domo_community_forum, labelability=low_signal",running total line graph With a running total line grap is it possible if I have a chart I have the number of employees hired as my y axis and the date hired(by month) as my x axis and for certain months there aren't any hires that there isn't a gap in the line and it can form...,,low_signal
domo_community_forum::26483::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","How can I format my data label numbers portrayed to have () for negative numbers instead of - ...as subject... Want my number labels in by card elements (bar, line, etc) to be able to represent a negative number as such (1,000) or ($1,000) or (10.5%) instead of -1,000 <> also...",,low_signal
domo_community_forum::32915::01,domo_community_forum,exploratory_edge_source,generic_low_signal,technical_support_debug_noise,yes,yes,no,"business=1, technical=1, strong=0, source=domo_community_forum, labelability=low_signal",Forcing a zero or null value on a grouped bar chart to show the series data Is there a way to force the series when the value in a grouped bar chart is zero or null?,,low_signal
domo_community_forum::50010::02,domo_community_forum,exploratory_edge_source,generic_low_signal,technical_support_debug_noise,yes,yes,no,"business=1, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","however when I use the calculated column to the chart, it throws an erro would you'll know why this happens? (CASE when DAYNAME(WEEKDAY(DATE(`itm_snapshot_date`)))IN ('Saturday') and…",,low_signal
domo_community_forum::19208::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","Table Column Labels -- min/max date I have simple table view. 2 of the columns are aggregated from the same date field in the raw data. One is min, the other is max. However, when I view the card, both columns are labled as ""Date_Of_Service"" If I try to give them a label, the...",,low_signal
domo_community_forum::52355::01,domo_community_forum,exploratory_edge_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=3, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","How to make card of Monthly Total Sales & Price Per Unit and Summary Table With Corrected Color Hi There, I'm a beginner user in DOMO, therefore there is a lot of DOMO functionality I'm not familiar with. Currently, I need to make 2 DOMO card one is Bar with Line chart and one...",,low_signal
domo_community_forum::48739::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=2, strong=0, source=domo_community_forum, labelability=low_signal","Aggregate Multiple Text-based Columns to Card Hello Domo Community! Long time reader, first time poster... hoping someone out there might have a solution for a relative newbie to domo and using beastmode. The Sitch I'm working with a file right now that will show pass/fail res...",,low_signal
domo_community_forum::46099::01,domo_community_forum,exploratory_edge_source,generic_low_signal,technical_support_debug_noise,yes,yes,no,"business=1, technical=2, strong=0, source=domo_community_forum, labelability=low_signal","How to enable child pages filter in Domo I want to have a main page (on a division level). If we click on that page, I want to see different pages for departments. If I click on any department, I want to be able to see the different pages/dashboards for that department. Right...",,low_signal
domo_community_forum::28487::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=2, strong=0, source=domo_community_forum, labelability=low_signal","Transform Saved Wrong I have a ""create table"" transfrom in a dataflow, with ""Generate Output Table"" unchecked. It runs fine & applies fine. But once the dataflow is saved, ""Generate Output Table"" becomes checked, and ""Create Table"" is cut off from the SQL. See image attached....",,low_signal
domo_community_forum::67811::02,domo_community_forum,exploratory_edge_source,generic_low_signal,ambiguous_review_bucket,yes,yes,yes,"business=2, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","However, when I try to aggregate the data by 'week' using 'graph by= week', I'm only able to see the values for each individual date rather than aggregated weekly totals. I've tried…",,low_signal
domo_community_forum::64786::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=1, strong=0, source=domo_community_forum, labelability=low_signal","One text box for multiple text cards? I may be coming at this wrong. I tried to concat but on occasion a zip is missing or something like that. I think I want to use a notebook card somehow, but my brain is blocking me from thinking outside the box. How would you get this data...",,low_signal
domo_community_forum::69640::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=2, strong=0, source=domo_community_forum, labelability=low_signal","Is there a way to dynamically format data labels for header columns? Hello, I am relatively new to Domo so I'm still trying to figure out the different sorts of available functions when creating cards for my team. One issue I've run into recently is when I was creating a Rolli...",,low_signal
domo_community_forum::56772::01,domo_community_forum,exploratory_edge_source,generic_low_signal,server_deploy_config_noise,no,yes,no,"business=0, technical=1, strong=0, source=domo_community_forum, labelability=low_signal",Is it possible to create a hyper link to a specific filter view? Unfortunately beastmode html filter is not sufficient for my business case - it does not allow me to add filters with no values on them. My overall goal is to create a table with hyperlinks to specific pages in D...,,low_signal
domo_community_forum::67314::01,domo_community_forum,exploratory_edge_source,generic_low_signal,technical_support_debug_noise,yes,yes,no,"business=1, technical=3, strong=0, source=domo_community_forum, labelability=low_signal","ServiceNow connector - Name for custom table in setup I'm trying to use the ServiceNow Connector (the non-Upsert version) to bring data in from various tables. The human-friendly name is My Requests, and the entity name is sc_request_list.do, assuming I've understood what I'm...",,low_signal
